Row ID,Year,Department Title,Payroll Department,Record Number,Job Class Title,Employment Type,Hourly or Event Rate,Projected Annual Salary,Q1 Payments,Q2 Payments,Q3 Payments,,,,,,
64123,2014,Controller,2601,1177639760,Controller,Full Time,$97.26 ,"$203,071.05 ","$48,609.84 ","$55,234.62 ","$48,023.18 ",,,,,,
36041,2013,Public Works - Sanitation,7031,4145967166,Clerk Typist,Full Time,$24.42 ,"$50,988.44 ","$11,818.74 ","$13,738.53 ","$11,987.69 ",,,,,,
54001,2013,Water And Power (DWP),,4049563991,Commercial Service Representative,Full Time,,"$78,947.28 ","$21,063.32 ","$20,986.04 ","$19,208.68 ",,,,,,
117580,2015,Airports (LAWA),0101,2706596853,Airport Guide I,Part Time,$19.67 ,"$41,070.96 ","$8,234.48 ","$9,367.40 ","$10,105.03 ",,,,,,
117581,2015,Airports (LAWA),0101,2230322076,Airport Guide I,Part Time,$19.67 ,"$41,070.96 ","$8,466.59 ","$9,799.13 ","$9,376.22 ",,,,,,
650,2013,Airports (LAWA),0101,1723122421,Communications Engineering Associate IV,Full Time,$55.21 ,"$115,278.48 ","$25,339.20 ","$29,562.40 ","$26,307.20 ",,,,,,
90660,2014,Public Works - Sanitation,7030,2534203769,Environmental Engineering Associate II,Full Time,$45.60 ,"$95,212.80 ","$24,021.60 ","$25,636.00 ","$22,312.40 ",,,,,,
113580,2014,Water And Power (DWP),,3237991190,Warehouse & Toolroom Worker,Full Time,,"$67,108.32 ",$0.00 ,$0.00 ,"$10,284.80 ",,,,,,
52380,2013,Water And Power (DWP),,4038015479,Water Utility Worker,Full Time,,"$84,480.48 ","$25,457.06 ","$26,510.05 ","$24,890.97 ",,,,,,
30899,2013,Police (LAPD),4302,611371733,Storekeeper II,Full Time,$29.35 ,"$61,273.14 ","$13,994.10 ","$16,151.45 ","$14,045.50 ",,,,,,
55049,2013,Water And Power (DWP),,3417027749,Utility Pre-craft Trainee,Full Time,,"$33,408.00 ","$15,863.66 ","$19,672.07 ","$17,137.85 ",,,,,,
52847,2013,Water And Power (DWP),,4258207103,Heavy Duty Truck Operator,Full Time,,"$75,731.76 ","$23,956.48 ","$24,462.04 ","$20,656.02 ",,,,,,
48875,2013,Water And Power (DWP),,2489435776,Senior Electrical Tester,Full Time,,"$115,716.96 ","$36,248.61 ","$34,207.88 ","$29,672.72 ",,,,,,
55070,2013,Water And Power (DWP),,2920869143,Senior Clerk Typist,Full Time,,"$70,386.48 ","$18,552.15 ","$18,977.60 ","$16,008.31 ",,,,,,
45897,2013,Transportation (LADOT),8501,1971477326,Senior Clerk Typist,Full Time,$29.35 ,"$61,273.14 ","$13,884.10 ","$16,171.45 ","$14,085.50 ",,,,,,
19007,2013,Personnel,2001,1315740180,Senior Clerk Typist,Full Time,$29.35 ,"$61,273.14 ","$12,759.72 ","$14,836.34 ","$12,940.97 ",,,,,,
81316,2014,Police (LAPD),4301,1597225428,Police Officer II,Full Time,$48.38 ,"$101,017.44 ","$23,065.33 ","$27,092.80 ","$26,193.27 ",,,,,,
111042,2014,Water And Power (DWP),,4011701013,Steam Plant Maintenance Mechanic,Full Time,,"$101,998.80 ","$28,111.05 ","$27,358.24 ","$22,551.00 ",,,,,,
